[2026-04-16 17:59:27] Annona glabra | 301703 | 失败 | NCBI未找到
[2026-04-16 17:59:32] Annona glabra | 301703 | 失败 | NCBI未找到
[2026-04-16 17:59:32] Annona muricata | 13337 | 失败 | NCBI未找到
[2026-04-16 17:59:32] Avena sterilis | 83444 | 失败 | ZIP文件无效
[2026-04-16 17:59:37] Annona muricata | 13337 | 失败 | NCBI未找到
[2026-04-16 17:59:37] Anthoceros agrestis | 41834 | 失败 | NCBI未找到
[2026-04-16 17:59:38] Averrhoa carambola | 28974 | 失败 | NCBI未找到
[2026-04-16 17:59:39] Anthoceros agrestis | 41834 | 失败 | NCBI未找到
[2026-04-16 17:59:41] Avicennia alba | 139224 | 失败 | NCBI未找到
[2026-04-16 17:59:42] Anthoceros angustus | 48387 | 失败 | NCBI未找到
[2026-04-16 17:59:42] Anthoceros agrestis | 41834 | 失败 | NCBI未找到
[2026-04-16 17:59:44] Avicennia germinans | 41378 | 失败 | NCBI未找到
[2026-04-16 17:59:44] Avicennia marina | 82927 | 跳过 | 已存在基因组
[2026-04-16 17:59:45] Anthoceros angustus | 48387 | 失败 | NCBI未找到
[2026-04-16 17:59:48] Anthoceros punctatus | 3234 | 失败 | NCBI未找到
[2026-04-16 17:59:48] Antiaris toxicaria | 241857 | 跳过 | 已存在基因组
[2026-04-16 17:59:48] Antiaris toxicaria | 241857 | 跳过 | 已存在基因组
[2026-04-16 17:59:49] Avicennia officinalis | 1134458 | 失败 | NCBI未找到
[2026-04-16 17:59:49] Avicennia rumphiana | - | 跳过 | 无TaxID
[2026-04-16 17:59:49] Anthoceros punctatus | 3234 | 失败 | NCBI未找到
[2026-04-16 17:59:49] Azadirachta indica | 124943 | 跳过 | 已存在基因组
[2026-04-16 17:59:49] Antiaris toxicaria | 241857 | 跳过 | 已存在基因组
[2026-04-16 17:59:51] Antirrhinum hispanicum | 49039 | 失败 | NCBI未找到
[2026-04-16 17:59:52] Antirrhinum hispanicum | 49039 | 失败 | NCBI未找到
[2026-04-16 17:59:54] Antirrhinum hispanicum | 49039 | 失败 | NCBI未找到
[2026-04-16 17:59:54] Azolla filiculoides | 84609 | 失败 | NCBI未找到
[2026-04-16 17:59:54] Baccaurea ramifloraLour | - | 跳过 | 无TaxID
[2026-04-16 17:59:55] Antirrhinum linkianum | 102601 | 失败 | NCBI未找到
[2026-04-16 17:59:57] Antirrhinum majus | 4151 | 失败 | NCBI未找到
[2026-04-16 17:59:57] Apatococcus fuscideae (ApafusSAG2523) | - | 跳过 | 无TaxID
[2026-04-16 17:59:57] Apatococcus lobatus (ApalobSAG2145) | - | 跳过 | 无TaxID
[2026-04-16 17:59:57] Apium graveolens | 4045 | 跳过 | 已存在基因组
[2026-04-16 17:59:59] Antirrhinum linkianum | 102601 | 失败 | NCBI未找到
[2026-04-16 17:59:59] Balanophora fungosa | 29813 | 失败 | NCBI未找到
[2026-04-16 18:00:00] Apocynum hendersonii | 377127 | 失败 | NCBI未找到
[2026-04-16 18:00:00] Apocynum pictum | 377126 | 跳过 | 已存在基因组
[2026-04-16 18:00:00] Apocynum venetum | 377125 | 跳过 | 已存在基因组
[2026-04-16 18:00:02] Balanophora subcupularis | 2874248 | 失败 | NCBI未找到
[2026-04-16 18:00:03] Apostasia ramifera | 1920719 | 失败 | NCBI未找到
[2026-04-16 18:00:04] Antirrhinum majus | 4151 | 失败 | NCBI未找到
[2026-04-16 18:00:04] Apium graveolens | 4045 | 跳过 | 已存在基因组
[2026-04-16 18:00:04] Apium graveolens | 4045 | 跳过 | 已存在基因组
[2026-04-16 18:00:04] Apium graveolens | 4045 | 跳过 | 已存在基因组
[2026-04-16 18:00:04] Apium graveolens | 4045 | 跳过 | 已存在基因组
[2026-04-16 18:00:05] Bambusa odashimae | 1929884 | 失败 | NCBI未找到
[2026-04-16 18:00:05] Barbarea vulgaris | 50459 | 跳过 | 已存在基因组
[2026-04-16 18:00:06] Apostasia shenzhenica | 1088818 | 失败 | NCBI未找到
[2026-04-16 18:00:06] Apple  Fuji | - | 跳过 | 无TaxID
[2026-04-16 18:00:06] Apple  M9 | - | 跳过 | 无TaxID
[2026-04-16 18:00:06] Apple MM106 | - | 跳过 | 无TaxID
[2026-04-16 18:00:06] Aquilaria agallocha | - | 跳过 | 无TaxID
[2026-04-16 18:00:07] Apocynum hendersonii | 377127 | 失败 | NCBI未找到
[2026-04-16 18:00:07] Apocynum pictum | 377126 | 跳过 | 已存在基因组
[2026-04-16 18:00:07] Apocynum venetum | 377125 | 跳过 | 已存在基因组
[2026-04-16 18:00:07] Apocynum venetum | 377125 | 跳过 | 已存在基因组
[2026-04-16 18:00:08] Barringtonia asiatica | 79557 | 失败 | NCBI未找到
[2026-04-16 18:00:09] Aquilaria sinensis | 210372 | 失败 | NCBI未找到
