缺失TaxID且未下载	1293	Pennisetum purpureum	-	tetraploid	CIAT6263	Poales	Poaceae	Pennisetum
缺失TaxID且未下载	1298	Penthorum chinense Pursh	-	-	GanHuang Cao	Saxifragales	Penthoraceae	Penthorum
缺失TaxID且未下载	1300	Perilla citriodora	-	-	-	Lamiales	Lamiaceae	Perilla
缺失TaxID且未下载	1308	Petunia inflata	-	diploid	-	Solanales	Solanaceae	Petunia
缺失TaxID且未下载	1309	Peucedanum praeruptorum	-	-	-	Apiales	Apiaceae	Peucedanum
缺失TaxID且未下载	1313	Phanera championii	-	diploid	-	Fabales	Fabaceae	Phanera
缺失TaxID且未下载	1328	Phyllanthus emblica	-	diploid	-	Malpighiales	Phyllanthaceae	Phyllanthus
缺失TaxID且未下载	1330	Physalis floridana	-	diploid	-	Solanales	Solanaceae	Physalis
缺失TaxID且未下载	1336	Physcomitrella patens	-	-	-	Funariales	Funariaceae	Physcomitrella
缺失TaxID且未下载	1342	Picea engelmannii x glauca x sitchensis	-	-	-	Pinales	Pinaceae	Picea
缺失TaxID且未下载	1347	Picochlorum sp. SENEW3	-	diploid	-	Picochlorales	Picochloraceae	Picochlorum
缺失TaxID且未下载	1360	Pisum sativum	-	diploid	cultivar Cameor	Fabales	Fabaceae	Pisum
缺失TaxID且未下载	1363	Plantain	-	triploid	Bananas	Zingiberales	Musaceae	Plantain
缺失TaxID且未下载	1366	Platanus × acerifolia	-	hexaploid	London planetree	Proteales	Platanaceae	Platanus ×
缺失TaxID且未下载	1369	Platycodon grandiflorum	-	-	-	Asterales	Campanulaceae	Platycodon
缺失TaxID且未下载	1384	Poncirus polyandra	-	diploid	-	Sapindales	Rutaceae	Poncirus
缺失TaxID且未下载	1385	Poncirus trifoliata	-	diploid	DPI 50-7	Sapindales	Rutaceae	Poncirus
缺失TaxID且未下载	1389	Populus alba × Populus tremula var. glandulosa	-	diploid	Poplar	Malpighiales	Salicaceae	Populus
缺失TaxID且未下载	1394	Populus deltoides x canadensis	-	-	-	Malpighiales	Salicaceae	Populus
缺失TaxID且未下载	1408	Popuplus tremula	-	-	-	Malpighiales	Salicaceae	Popuplus
缺失TaxID且未下载	1413	Potentilla anserina	-	tetraploid	-	Rosales	Rosaceae	Potentilla
缺失TaxID且未下载	1416	Premna obtusifolia	-	-	-	Lamiales	Lamiaceae	Premna
缺失TaxID且未下载	1424	Prosopis alba	-	diploid	-	Fabales	Fabaceae	Prosopis
缺失TaxID且未下载	1426	Prosopis alba	-	tetraploid	B1F8T4	Fabales	Fabaceae	Prosopis
缺失TaxID且未下载	1443	Prunus hongpingensis	-	-	PHP	Rosales	Rosaceae	Prunus
缺失TaxID且未下载	1454	Prunus salicina cv. 'Fengtangli'	-	diploid	plum	Rosales	Rosaceae	Prunus
缺失TaxID且未下载	1471	Pueraria lobata	-	diploid	-	Fabales	Fabaceae	Pueraria
缺失TaxID且未下载	1477	Pyrus bretschneideri	-	diploid	-	Rosales	Rosaceae	Pyrus
缺失TaxID且未下载	1478	Pyrus bretschneideri cv. 'Danshansuli'	-	-	-	Rosales	Rosaceae	Pyrus
缺失TaxID且未下载	1480	Pyrus communis cv. 'Conference'	-	-	-	Rosales	Rosaceae	Pyrus
缺失TaxID且未下载	1483	Pyrus sinkiangensis Yu cv. Korla xiangli×Pyrus bretschneideri Rehd. cv. Eli	-	-	Hongxiangsu	Rosales	Rosaceae	Pyrus
缺失TaxID且未下载	1484	Pyrus sinkiangensis Yu cv. Korla xiangli×Pyrus bretschneideri Rehd. cv. Xuehua	-	-	Yuluxiang	Rosales	Rosaceae	Pyrus
缺失TaxID且未下载	1504	Raparia bulbosa	-	-	-	Brassicales	Brassicaceae	Raparia
缺失TaxID且未下载	1506	Raphanus raphanistrumm x Raphanus sativus	-	-	-	Brassicales	Brassicaceae	Raphanus
